sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
BAQ1370.1.3	6	0	0	0	0	0	0	0
BAQ1370.3	1	0	0	0	0	0	0	0
BAQ1552.1.1	2	2	100	2	0	0	0	0
BAQ1552.2	1	0	0	0	0	0	0	0
BAQ2420.1.1	778	692	88.95	415	195	25.06	195	25.06
BAQ2420.1.2	672	611	90.92	427	175	26.04	175	26.04
BAQ2420.1.3	708	659	93.08	471	186	26.27	186	26.27
BAQ2420.2	651	585	89.86	476	244	37.48	244	37.48
BAQ2420.3	700	624	89.14	545	224	32	224	32
BAQ2462.1	935	813	86.95	685	391	41.82	391	41.82
BAQ2462.2	629	542	86.17	458	277	44.04	277	44.04
BAQ2462.3	497	437	87.93	360	126	25.35	126	25.35
BAQ2687.1	935	852	91.12	637	283	30.27	283	30.27
BAQ2687.2	695	614	88.35	537	340	48.92	340	48.92
BAQ2687.3	916	771	84.17	617	159	17.36	159	17.36
BAQ2838.1	636	555	87.26	434	140	22.01	140	22.01
BAQ2838.2	527	453	85.96	314	47	8.92	47	8.92
BAQ2838.3	388	332	85.57	253	90	23.2	90	23.2
BAQ3473.1	1148	1031	89.81	760	311	27.09	311	27.09
BAQ3473.2	941	860	91.39	621	124	13.18	124	13.18
BAQ3473.3	1320	1210	91.67	988	481	36.44	481	36.44
BAQ4166.1.1	1096	962	87.77	718	210	19.16	210	19.16
BAQ4166.1.2	1369	1190	86.92	955	359	26.22	359	26.22
BAQ4166.1.3	1103	1013	91.84	815	281	25.48	281	25.48
BAQ4166.2	1341	1222	91.13	1001	391	29.16	391	29.16
BAQ4166.3	1290	1139	88.29	860	323	25.04	323	25.04
BAQ4697.1	884	821	92.87	710	451	51.02	451	51.02
BAQ4697.2	812	742	91.38	651	376	46.31	376	46.31
BAQ4697.3	1120	1012	90.36	911	583	52.05	583	52.05
BAQ895.2	9	1	11.11	1	0	0	0	0
BAQ895.3	2	0	0	0	0	0	0	0
YUN1005.1.1	927	831	89.64	784	583	62.89	583	62.89
YUN1005.1.3	2	1	50	1	0	0	0	0
YUN1005.3	439	411	93.62	390	290	66.06	290	66.06
YUN1242.1	571	522	91.42	504	391	68.48	391	68.48
YUN1242.2	11	8	72.73	1	0	0	0	0
YUN1242.3	792	714	90.15	676	518	65.4	518	65.4
YUN1609.1	763	650	85.19	628	467	61.21	467	61.21
YUN1609.3	1	1	100	1	0	0	0	0
YUN2029.1	8	8	100	1	0	0	0	0
YUN2029.2	908	827	91.08	775	586	64.54	586	64.54
YUN2029.3	2	1	50	1	1	50	1	50
YUN3008.1.1	3	2	66.67	1	0	0	0	0
YUN3008.1.2	3	0	0	0	0	0	0	0
YUN3008.1.3	6	3	50	1	0	0	0	0
YUN3008.3	2	1	50	1	1	50	1	50
YUN3153.1	2	1	50	1	1	50	1	50
YUN3153.2	473	429	90.7	366	206	43.55	206	43.55
YUN3153.3	609	538	88.34	494	356	58.46	356	58.46
YUN3184.2	4	4	100	1	0	0	0	0
YUN3259.1.1	64	55	85.94	14	0	0	0	0
YUN3259.1.2	729	658	90.26	527	316	43.35	316	43.35
YUN3259.1.3	295	263	89.15	195	56	18.98	56	18.98
YUN3259.2	1051	899	85.54	591	160	15.22	160	15.22
YUN3259.3	1146	1003	87.52	811	428	37.35	428	37.35
YUN3346.1	701	623	88.87	548	384	54.78	384	54.78
YUN3346.2	192	176	91.67	109	26	13.54	26	13.54
YUN3346.3	824	711	86.29	602	314	38.11	314	38.11
YUN3428.1	1114	976	87.61	723	334	29.98	334	29.98
YUN3428.2	1442	1291	89.53	1020	474	32.87	474	32.87
YUN3428.3	1102	982	89.11	742	175	15.88	175	15.88
YUN3533.1.1	995	923	92.76	702	364	36.58	364	36.58
YUN3533.1.2	961	883	91.88	649	248	25.81	248	25.81
YUN3533.1.3	812	743	91.5	539	243	29.93	243	29.93
YUN3533.2	1228	1118	91.04	905	545	44.38	545	44.38
YUN3533.3	1321	1224	92.66	953	487	36.87	487	36.87
YUN3856.1.1	1005	884	87.96	681	293	29.15	293	29.15
YUN3856.1.2	1045	956	91.48	803	445	42.58	445	42.58
YUN3856.1.3	703	636	90.47	495	195	27.74	195	27.74
YUN3856.2	1047	947	90.45	723	333	31.81	333	31.81
YUN3856.3	1297	1186	91.44	968	456	35.16	456	35.16
